country_region_old,province_state_old,country_region_new,province_state_new
American Samoa [United States],AS,United States,AS
Bermuda [United Kingdom],UNK,United Kingdom,Bermuda
Cayman Islands [United Kingdom],UNK,United Kingdom,Cayman Islands
Falkland Islands (Islas Malvinas) [United Kingdom],UNK,United Kingdom,Falkland Islands (Malvinas)
French Guiana [France],UNK,France,French Guiana
Gibraltar [United Kingdom],UNK,United Kingdom,Gibraltar
Mayotte [France],UNK,France,Mayotte
Reunion [France],UNK,France,Reunion
Saint Pierre and Miquelon [France],UNK,France,Saint Pierre and Miquelon
Virgin Islands [United States],VI,United States,VI
Guam [United States],GU,United States,GU
Greenland [Denmark],UNK,Denmark,Greenland
Northern Mariana Islands [United States],MP,United States,MP
Puerto Rico [United States],PR,United States,PR
American Samoa [United States],AS,United States,AS
