date,state,positive,recovered,death,positiveIncrease,deathIncrease,recoveredIncrease,population
20200304,IL,4.0,0.0,0.0,0.0,0.0,0.0,12671821.0
20200305,IL,5.0,0.0,0.0,1.0,0.0,0.0,12671821.0
20200306,IL,5.0,0.0,0.0,0.0,0.0,0.0,12671821.0
20200307,IL,6.0,0.0,0.0,1.0,0.0,0.0,12671821.0
20200308,IL,6.0,0.0,0.0,0.0,0.0,0.0,12671821.0
20200309,IL,7.0,0.0,0.0,1.0,0.0,0.0,12671821.0
20200310,IL,19.0,0.0,0.0,12.0,0.0,0.0,12671821.0
20200311,IL,19.0,0.0,0.0,0.0,0.0,0.0,12671821.0
20200312,IL,25.0,0.0,0.0,6.0,0.0,0.0,12671821.0
20200313,IL,32.0,0.0,0.0,7.0,0.0,0.0,12671821.0
20200314,IL,46.0,0.0,0.0,14.0,0.0,0.0,12671821.0
20200315,IL,64.0,0.0,0.0,18.0,0.0,0.0,12671821.0
20200316,IL,93.0,0.0,0.0,29.0,0.0,0.0,12671821.0
20200317,IL,159.0,0.0,1.0,66.0,1.0,0.0,12671821.0
20200318,IL,288.0,0.0,1.0,129.0,0.0,0.0,12671821.0
20200319,IL,422.0,0.0,4.0,134.0,3.0,0.0,12671821.0
20200320,IL,585.0,0.0,5.0,163.0,1.0,0.0,12671821.0
20200321,IL,753.0,0.0,6.0,168.0,1.0,0.0,12671821.0
20200322,IL,1049.0,0.0,9.0,296.0,3.0,0.0,12671821.0
20200323,IL,1273.0,0.0,12.0,224.0,3.0,0.0,12671821.0
20200324,IL,1535.0,0.0,16.0,262.0,4.0,0.0,12671821.0
20200325,IL,1865.0,0.0,19.0,330.0,3.0,0.0,12671821.0
20200326,IL,2538.0,0.0,26.0,673.0,7.0,0.0,12671821.0
20200327,IL,3026.0,0.0,34.0,488.0,8.0,0.0,12671821.0
20200328,IL,3491.0,0.0,47.0,465.0,13.0,0.0,12671821.0
20200329,IL,4596.0,0.0,65.0,1105.0,18.0,0.0,12671821.0
20200330,IL,5057.0,0.0,73.0,461.0,8.0,0.0,12671821.0
20200331,IL,5994.0,0.0,99.0,937.0,26.0,0.0,12671821.0
20200401,IL,6980.0,0.0,141.0,986.0,42.0,0.0,12671821.0
20200402,IL,7695.0,0.0,157.0,715.0,16.0,0.0,12671821.0
20200403,IL,8904.0,0.0,210.0,1209.0,53.0,0.0,12671821.0
20200404,IL,10357.0,0.0,243.0,1453.0,33.0,0.0,12671821.0
20200405,IL,11256.0,0.0,274.0,899.0,31.0,0.0,12671821.0
20200406,IL,12262.0,0.0,307.0,1006.0,33.0,0.0,12671821.0
20200407,IL,13549.0,0.0,380.0,1287.0,73.0,0.0,12671821.0
20200408,IL,15078.0,0.0,462.0,1529.0,82.0,0.0,12671821.0
20200409,IL,16422.0,0.0,528.0,1344.0,66.0,0.0,12671821.0
20200410,IL,17887.0,0.0,596.0,1465.0,68.0,0.0,12671821.0
20200411,IL,19180.0,0.0,677.0,1293.0,81.0,0.0,12671821.0
20200412,IL,20852.0,0.0,720.0,1672.0,43.0,0.0,12671821.0
20200413,IL,22025.0,0.0,794.0,1173.0,74.0,0.0,12671821.0
20200414,IL,23247.0,0.0,868.0,1222.0,74.0,0.0,12671821.0
20200415,IL,24593.0,0.0,948.0,1346.0,80.0,0.0,12671821.0
20200416,IL,25733.0,0.0,1072.0,1140.0,124.0,0.0,12671821.0
20200417,IL,27575.0,0.0,1134.0,1842.0,62.0,0.0,12671821.0
20200418,IL,29160.0,0.0,1259.0,1585.0,125.0,0.0,12671821.0
20200419,IL,30357.0,0.0,1290.0,1197.0,31.0,0.0,12671821.0
20200318,WV,1.0,0.0,0.0,1.0,0.0,0.0,1792147.0
20200319,WV,2.0,0.0,0.0,1.0,0.0,0.0,1792147.0
20200320,WV,7.0,0.0,0.0,5.0,0.0,0.0,1792147.0
20200321,WV,11.0,0.0,0.0,4.0,0.0,0.0,1792147.0
20200322,WV,12.0,0.0,0.0,1.0,0.0,0.0,1792147.0
20200323,WV,16.0,0.0,0.0,4.0,0.0,0.0,1792147.0
20200324,WV,20.0,0.0,0.0,4.0,0.0,0.0,1792147.0
20200325,WV,39.0,0.0,0.0,19.0,0.0,0.0,1792147.0
20200326,WV,51.0,0.0,0.0,12.0,0.0,0.0,1792147.0
20200327,WV,76.0,0.0,0.0,25.0,0.0,0.0,1792147.0
20200328,WV,96.0,0.0,0.0,20.0,0.0,0.0,1792147.0
20200329,WV,113.0,0.0,0.0,17.0,0.0,0.0,1792147.0
20200330,WV,126.0,0.0,1.0,13.0,1.0,0.0,1792147.0
20200331,WV,162.0,0.0,1.0,36.0,0.0,0.0,1792147.0
20200401,WV,191.0,0.0,1.0,29.0,0.0,0.0,1792147.0
20200402,WV,217.0,0.0,2.0,26.0,1.0,0.0,1792147.0
20200403,WV,237.0,0.0,2.0,20.0,0.0,0.0,1792147.0
20200404,WV,282.0,0.0,2.0,45.0,0.0,0.0,1792147.0
20200405,WV,324.0,0.0,3.0,42.0,1.0,0.0,1792147.0
20200406,WV,345.0,0.0,4.0,21.0,1.0,0.0,1792147.0
20200407,WV,412.0,0.0,4.0,67.0,0.0,0.0,1792147.0
